;;;;;;;;Office_Country_Code;; 
TURUNH;1437147008;nan;40;2457104;SEK;1434556416;SVG;SE;CDG;0.5
MJ8QLU;1437405440;nan;40;2457179;EUR;1439460224;BRU;IT;VCE;0.01
Y3R9EX;1438732416;nan;40;2457187;EUR;1437741312;ATH;FR;FRA;1.37
2G8HQG;1450682752;B;30;2457314;GBP;1451060480;LHR;GB;JNB;2514.69
PJV4FR;1428091392;nan;40;2457019;EUR;1424058752;LIM;ES;MAD;112.74
HCOHHJ;1439084800;B;40;2457163;EUR;1438221824;FLL;IT;TRN;0.01
I67AOW;1406422656;nan;40;2456714;EUR;1406646272;LCA;FR;CDG;211514.39
DNY1SS;1393469824;nan;40;2456653;EGP;1391392000;NCE;EG;CAI;5.26
L6DOC1;1434233728;nan;40;2457078;EUR;1431295360;AGP;FR;ARN;93.39
BQ09L5;1441572608;nan;20;2457190;SAR;1442104320;JED;IL;TLV;0.02
7SRB6R;1422611840;nan;40;2457014;EUR;1424175232;LHR;FI;HEL;0.01
PAM9EL;1447212032;nan;10;2457058;EUR;1447110400;LAX;FR;CDG;0.89
0TF6VG;1440209664;L;40;2457140;USD;1438799104;RUH;SA;JED;0.42
GTHM5M;1410143104;nan;40;2456773;EUR;1409234432;PPT;DE;HAM;4403.81
MST2YB;1446860800;nan;40;2457277;XOF;1444558720;NCE;SE;ARN;0.06
4MCE2P;1409135488;nan;40;2456827;EUR;1408110336;LAX;FR;CDG;0.48
JCNU4E;1442645504;nan;40;2457213;DKK;1442252800;CPH;FR;RIX;927.67
NJ9Y8U;1441007488;nan;40;2457240;USD;1439818368;MNL;SA;DMM;2.07
OB1N65;1444668800;nan;20;2457211;SAR;1441325952;BEY;SA;RUH;0.27
BIXO18;1446854784;L;40;2457167;EUR;1443715584;PVG;DE;TXL;0.03
DEXI4W;1409126784;nan;40;2456714;THB;1408496000;NRT;TH;BKK;4403.81
DW0WA6;1431815936;nan;40;2457081;EUR;1424819712;BEY;DE;FRA;0.13
WNE50X;1422592256;nan;40;2457029;JPY;1422883456;CDG;PT;RUN;0.05
TZFW26;1440474112;L;40;2457092;EUR;1438069888;TLL;FR;CDG;0.07
9ZSLVP;1437383936;nan;40;2457189;EUR;1433675904;BOD;FR;ORY;0.01
WNC6GM;1442315648;nan;40;2457221;SAR;1441615616;BOM;SA;JED;4192.09
LFMCXS;1441440128;nan;40;2457200;AUD;1442076288;LIN;EE;TLL;0.09
8L9ZKM;1442628096;nan;20;2457287;CHF;1441895424;BKK;DK;CPH;4403.81
83THF9;1441377792;nan;40;2457225;EUR;1440257408;DKR;GR;ALA;0.04
4T6V9O;1438956416;nan;40;2457232;USD;1440428672;AMS;BG;SOF;373369.94
3F3KG7;1438961536;nan;40;2457136;EUR;1438103552;TFN;ES;BCN;4403.81
36Z0AV;1421014656;nan;40;2456922;EUR;1417688064;BCN;ES;CBO;34.92
EPHA88;1425605760;L;30;2457009;EUR;1423274752;OPO;GB;LHR;20.86
UQ7FBQ;1451412096;nan;40;2457321;EUR;1451360384;BKO;FR;MEX;0.7
9OYK6G;1419223680;nan;20;2456998;DKK;1418241408;TXL;DK;CPH;0.01
VANKHD;1412860288;L;40;2456946;GBP;1413369216;LGW;SE;ABZ;28.35
CDXPTH;1440921472;nan;40;2457230;EUR;1441480576;MUC;CZ;CPH;0.19
YI1S56;1412828928;L;40;2456880;CAD;1410788480;ERL;SE;TLV;0.01
7LIKZY;1437571072;nan;40;2457172;EUR;1437184384;BIO;ES;MAD;0.01
KFMTU9;1439540736;nan;40;2457129;EUR;1438861440;ATH;LV;ORY;92.6
GIS59O;1442240384;nan;40;2457265;DKK;1442829312;LAX;DK;CDG;0.01
LLRHAL;1455551232;B;40;2457371;USD;1455911552;CDG;US;JFK;1525.46
AQ7AWY;1438634496;nan;40;2457182;GBP;1437774592;ATH;GB;SDU;1.32
G0D4BW;1401542144;nan;20;2456789;AUD;1403042816;JED;AU;SYD;4403.81
I05XUU;1440561792;nan;40;2457210;EUR;1441127680;VCE;FR;STR;0.73
H36TZ0;1433001728;B;40;2457134;EUR;1433847936;OSL;FI;BDU;1.54
KJ7LQX;1425522688;nan;20;2457098;EUR;1428723840;CTG;CO;BOG;0.01
4ZE35J;1442355584;nan;40;2457144;EUR;1444270336;LJU;CZ;PRG;35.08
8DIFN4;1412349312;nan;40;2457034;EUR;1414911104;AMS;NL;ZAG;0.03
6095P4;1398049792;nan;40;2456826;EUR;1398261632;CPH;FI;AMS;0.01
QDPOBA;1416921344;nan;40;2456950;GBP;1415766144;ATH;FR;MRS;0.17
UOXPN7;1405177216;nan;30;2456841;EUR;1405053184;MUC;FR;CDG;11.45
E97WOM;1432349952;nan;30;2457005;GBP;1432698368;FLR;GB;LHR;8.22
00G5N7;1441084416;nan;20;2457208;GBP;1442739200;LHR;GB;JFK;1.42
UTNMJB;1439662080;L;40;2457060;BRL;1437894656;PMI;BR;TXL;20.1
YEP7OS;1441376640;L;40;2457178;USD;1440800256;MNL;IL;TLV;0.2
2LBDBB;1439489280;nan;40;2457247;NZD;1442228352;RUH;SI;LHE;475.31
9RNBBF;1434396032;nan;40;2457201;EUR;1433683584;ATH;ES;MAD;0.37
GCY7PN;1436318848;B;40;2457143;GBP;1435341440;EDI;PT;LIS;56.25
1MV7FM;1450451200;nan;30;2457288;PLN;1453367168;LHR;PL;HEL;0.17
YH6LJ6;1397517824;nan;40;2456592;DKK;1396621568;GVA;DK;CPH;620.17
JU2GHV;1431881728;nan;40;2457145;EUR;1431512448;ORN;FR;CDG;0.09
G4QYY8;1441698048;nan;40;2457116;KRW;1440896768;LHR;AE;DXB;41.29
7V9WCA;1447618048;nan;40;2457235;BRL;1447216256;GRU;BR;GRU;4403.81
9G9YEA;1423605504;L;40;2456938;GBP;1422818560;EDI;GB;LGW;199.68
H0HMB2;1440465536;nan;20;2457210;SAR;1439861120;RUH;SA;JED;9.5
721XWU;1438770944;nan;40;2457228;AUD;1440972544;ISB;AU;PER;0.06
4A0TCH;1432264320;nan;40;2457145;EUR;1433538304;LAX;QA;DOH;0.03
Q9EV9D;1437509888;nan;40;2457153;SAR;1437247488;MED;SA;RUH;4403.81
FW9M7Q;1454953216;nan;40;2457306;EUR;1452757504;RAK;IT;MXP;7.4
T0CLLB;1433225344;L;10;2457146;SAR;1432700672;MED;SA;IAD;616.63
RSY51A;1438115328;nan;40;2457154;EUR;1434918016;PMI;PT;IBZ;684.34
02ZCRP;1423542400;nan;40;2457001;EUR;1420169600;SHA;FR;CDG;4403.81
3YQLSV;1441055744;nan;40;2457200;EUR;1441437440;HAM;CH;ZRH;10.64
ZYHIA6;1442891776;nan;40;2457241;INR;1443389440;MXP;TR;LIN;0.01
Z2ZOJY;1402171136;nan;40;2456711;EUR;1399361408;LIS;NO;OPO;0.02
M8ITVE;1443058048;nan;40;2457240;BRL;1443233792;KBP;BG;SOF;1.01
H6P055;1400443520;nan;40;2456725;EUR;1399560320;LPA;ES;CDG;10876235.0
5UCYTP;1415271680;nan;40;2456929;EUR;1414668544;JTR;FR;ORY;0.02
44W5UP;1438266752;nan;40;2457161;SAR;1437703168;DBV;SA;DMM;0.68
VYBBC1;1438835328;nan;20;2457203;USD;1436130304;LGW;FI;BCN;26.47
J4HBOC;1443769856;B;40;2457183;EUR;1441313280;CPH;LV;RIX;148.4
ZDYTSH;1437416192;nan;40;2457210;USD;1438068096;PMV;VE;CCS;0.03
X42P6G;1456738176;nan;40;2457325;EUR;1455381632;NCE;EE;GOT;0.02
1RFNDZ;1403622016;nan;40;2456859;EUR;1403451008;AGP;FR;PMI;0.02
NMHT49;1443432064;nan;20;2457199;THB;1445716480;LHR;PT;LIS;0.14
7O9FPJ;1418058880;nan;30;2456943;EUR;1417744256;VCE;FR;ORY;117.29
TRLILB;1415767808;nan;40;2457043;EUR;1415234176;MUC;IT;FCO;0.01
XB31Y5;1396736768;nan;40;2456830;EUR;1393378816;ATH;GR;LYR;69.15
LDJDKM;1438179200;nan;40;2457191;USD;1440068736;CDG;US;CMN;15.15
1EEQFI;1405978624;nan;40;2456859;EUR;1404722816;DUS;DE;TXL;4403.81
T4QYJP;1445996160;nan;40;2457189;SAR;1443209472;MAD;SA;JED;0.21
45M76Q;1436004224;nan;40;2457203;EUR;1435508736;LOS;ES;MAD;1.64
L7M958;1439102208;nan;30;2457278;INR;1441183872;NBO;HR;GOT;1232.87
RWZWFQ;1439621376;nan;40;2457223;EUR;1440430208;MRS;FR;TLS;4403.81
2DDLA5;1417717248;nan;40;2456888;SEK;1412219136;EDI;SE;ARN;80.57
VH8KG5;1410824960;nan;40;2456826;EUR;1408752384;CDG;FR;CPH;2.68
X8OLFA;1422630272;nan;20;2456947;USD;1419176320;LIM;IT;MXP;0.01
H65G5B;1438404864;L;40;2457153;EUR;1438705024;CCJ;FR;MAD;0.09
NKN9W5;1406521344;nan;40;2456511;XOF;1403651840;MYJ;FR;CDG;122.35
U4AK1X;1406451072;nan;40;2456758;SAR;1402867712;FCO;DE;FRA;101.11
21ZV7B;1466031360;nan;40;2457447;BRL;1465905280;GIG;US;GRU;16549.38
RAAG12;1443144704;nan;40;2457271;SAR;1442142720;DAC;SA;JED;2.15
KNFTWD;1430553984;B;40;2457048;GBP;1430633088;ZAG;BE;VIE;0.01
2IBUJM;1443374592;B;40;2457303;EUR;1446676736;OUL;FI;HEL;3.86
LR9RWW;1439463296;nan;40;2457118;GBP;1439045120;LIS;GB;LHR;4403.81
53IRAO;1437423104;L;40;2457189;EUR;1437145088;BIO;ES;BRU;0.07
1GUU0L;1431719040;nan;40;2457100;SAR;1429500544;DAC;SA;AUH;3.35
OI5ACU;1440283392;nan;40;2457124;BRL;1440571264;GRU;BR;NAT;0.02
O95BTR;1428270208;nan;40;2456986;EUR;1426635776;SCL;DE;DUS;4403.81
8JTGRJ;1472495104;nan;20;2457447;EUR;1471223552;MAD;DE;MUC;4403.81
LNFLG0;1441784320;nan;40;2457180;EUR;1440999424;LIN;IT;VCE;9.4
KHSRXG;1415081856;nan;40;2456898;AUD;1415596544;RUN;NL;AMS;2.62
2R141T;1441444992;L;40;2457206;SAR;1442056320;RUH;SA;KHI;7.66
V01YH7;1424281216;nan;40;2457069;EUR;1425670272;TRN;ZA;JNB;9.0
W5JLYR;1440419072;B;40;2457226;EUR;1443587200;BRU;FI;HEL;0.01
QY1Y27;1437942784;B;40;2457113;EUR;1434939392;SXF;SE;SVG;2.69
8RCPUB;1415594624;nan;40;2456940;NOK;1415817728;AMS;DK;CPH;53.86
7B7XGL;1430422272;nan;20;2457059;CHF;1431225984;LHR;CH;GVA;4403.81
OXGRZS;1447199104;nan;40;2457240;ARS;1444774144;MAD;AR;EZE;0.05
NZK2CC;1438354432;nan;40;2457090;EUR;1434155520;PTP;FR;CDG;0.22
SOPF4W;1451964800;nan;40;2457392;EUR;1453071104;CDG;FR;YQX;709.92
06D21X;1428260480;nan;30;2457060;EUR;1425739008;LIN;FR;ORY;0.01
5LV0ZA;1436017920;nan;40;2457210;EUR;1438107136;CPH;ES;MAD;0.12
ZBDHLX;1437637120;nan;30;2457225;NOK;1438982144;PVG;ES;KRS;13.81
HW29D2;1407597568;nan;40;2456838;EUR;1408723200;LJU;ES;CDG;22.09
HISGHQ;1448541568;nan;40;2457101;EUR;1446407168;LIM;FR;LYS;0.02
WOAAD4;1438162944;nan;40;2457218;EUR;1438984064;LIS;BR;BOD;0.01
LT3475;1436889728;nan;40;2457203;GBP;1437743616;AMS;GB;LIS;0.68
J75BT0;1438416000;nan;40;2457188;NOK;1438136704;ATH;NO;CPH;8654.91
AP0HWE;1430328704;nan;40;2457115;XOF;1429195520;MUC;NO;OSL;0.04
BU4NKH;1439158528;nan;40;2457129;USD;1436655104;GIG;US;IAD;0.01
P4Y0AH;1401802240;nan;40;2456745;CZK;1402158976;LHR;UY;KEF;0.85
0FEQZJ;1407440768;nan;40;2456761;EUR;1403831808;KBP;DE;FRA;0.04
SHCGEH;1447271552;nan;40;2457294;EUR;1447052800;FDF;FR;ORY;4403.81
WBCY9N;1466303872;nan;40;2457400;SEK;1463562368;UME;SE;ARN;0.21
18HE0W;1437754496;nan;40;2457239;DKK;1439690368;CDG;DK;BLL;4403.81
LYXRSU;1445672192;nan;40;2457206;EUR;1443201024;LIS;SI;ORY;7614.29
U79BYC;1402488320;nan;40;2456752;AUD;1400230016;JNB;AU;DUR;0.01
MSAGHA;1412780416;L;40;2456772;SEK;1412260608;RIX;SE;ARN;105.01
6KLFXZ;1415556352;nan;40;2457025;EUR;1414699648;OTP;PT;LIS;0.1
E1SUS4;1405561344;nan;20;2456762;SEK;1406004096;RUH;SE;AGH;9.46
LMYUHT;1448650752;nan;30;2457298;INR;1449278592;AMM;TW;JED;130.61
TSRRNH;1451248256;nan;30;2457159;AUD;1447356928;BNE;AU;SYD;4403.81
G7J3R9;1422756480;nan;40;2456965;EUR;1423965696;MAD;UY;PRG;0.14
462LPC;1447332992;nan;40;2457306;EUR;1445893632;TLL;DK;VAR;0.01
16MM6C;1441931008;nan;40;2457153;GBP;1440783104;ZYL;GB;LHR;0.45
KL6QMH;1406347648;nan;40;2456849;HKD;1405107840;GRU;BR;POA;0.08
RZ4WT3;1413693184;nan;40;2456860;USD;1414822912;PEI;US;SFO;460368.62
VBXO28;1440988160;nan;40;2457245;GBP;1440360448;PEI;SI;ACC;9864.98
QDZ5ZV;1443280128;nan;40;2457301;EUR;1445649024;SOF;ES;MAD;0.13
G2ELGJ;1402572160;nan;40;2456720;GBP;1402424448;AYT;US;HER;2962.1
XJDY51;1421837824;nan;40;2456684;EUR;1416793600;GRU;ES;MAD;0.72
R90352;1441015168;nan;40;2457146;AED;1440734848;LHR;AE;DXB;0.01
GZBYBL;1453953024;nan;40;2457314;NOK;1449344256;CAI;NO;ARN;0.01
RH8GEN;1454121600;nan;20;2457401;EUR;1455210240;LAX;ES;MXL;32.59
FXBTA8;1417431040;nan;40;2456933;USD;1416740224;MXP;IT;WDH;0.13
LEIA47;1454060288;nan;40;2457355;DKK;1454019840;ARN;DK;BLL;0.51
GSL4BQ;1440163840;nan;40;2457147;USD;1434301312;SAL;ES;MAD;4.32
B89FLK;1439619200;nan;40;2457175;EUR;1440781824;HER;QA;DOH;9.43
UL7FBN;1428998528;nan;40;2457032;EUR;1428609920;PEI;IT;SVO;5219.69
7DULI3;1440456960;nan;40;2457150;SAR;1438771584;SAW;SA;RUH;0.21
XDYLYI;1443805440;nan;40;2457174;USD;1440813184;VIE;GB;GRU;0.07
SS2BYV;1439428224;nan;40;2457160;USD;1437567744;GVA;SA;ATH;175.95
NSILJY;1415549440;nan;40;2456829;EUR;1412271488;PVG;DE;SYD;1.21
BFAW7M;1447964672;nan;40;2457076;EUR;1441193344;JED;DE;CDG;0.05
ZIWLZT;1451633920;nan;40;2457258;USD;1448718080;LAX;BR;DAC;2.09
QHKKGG;1446298752;nan;40;2457326;EUR;1444161536;BOD;FR;POP;1.31
NRANVP;1434252288;nan;20;2457156;EUR;1435499648;MEX;ES;MEX;0.04
AE2ZCF;1437637632;nan;40;2457233;EUR;1439730176;LCA;FR;GIB;5.27
K8J7C6;1444128000;nan;10;2457170;EUR;1443355008;CPH;DE;FRA;0.17
5Y15SP;1445924224;nan;40;2457208;EUR;1446000256;AMM;FI;HEL;91.6
ISUZZ9;1441298304;nan;40;2457253;EUR;1439889536;CDG;FR;CDG;225.67
J882J5;1425123712;nan;40;2457018;GBP;1425275648;LGW;NO;LHR;0.06
WDD2WN;1417349376;nan;40;2456988;SAR;1418298240;DMM;GB;BEY;0.2
3MBM4H;1417203584;nan;40;2456910;EUR;1415576960;LCA;FR;LGW;0.12
VY1W8S;1445871616;nan;40;2457189;USD;1442160512;EZE;ES;LAX;0.03
7YVEM7;1438640256;nan;40;2457235;SEK;1440626816;CDG;CA;GOT;0.05
7GANHJ;1432741376;nan;40;2457121;EUR;1432758912;LHR;BG;GRU;0.35
11NVE8;1451653504;nan;40;2457279;BRL;1449501056;FOR;BR;GRU;0.03
Z7UB24;1440099584;nan;40;2457230;ZAR;1440535808;JED;ZA;CPT;0.77
EG9BZX;1414796800;nan;40;2456943;EUR;1415791616;WAW;FI;HEL;3.98
CRGYN0;1441154816;nan;40;2457201;SEK;1439946880;AMM;SE;ARN;0.06
4D6JIT;1442325248;nan;20;2457198;BRL;1442201984;GIG;BR;GIG;218.93
8PFF7B;1442776960;nan;40;2457271;EUR;1441718016;MUC;ES;MAD;10237.77
UE4S1C;1434535936;nan;40;2457187;DKK;1435739776;MAD;DK;CPH;0.01
8TLOMR;1443057920;nan;40;2457197;EUR;1441894272;WNZ;IT;CDG;0.04
FUOGKI;1441949824;nan;40;2457214;AUD;1443713920;VIE;AU;PER;4403.81
N26WPU;1406151552;nan;40;2456767;USD;1401018752;FCO;US;JFK;2449.4
96L4AB;1453810816;L;40;2457197;AUD;1452478464;KBP;AU;ZRH;0.52
M44FSO;1440845824;nan;40;2457125;EUR;1439739776;VAR;GR;ATH;26139.82
QCA1EA;1440216448;B;40;2457235;DKK;1442179456;BRU;DK;CPH;0.03
U59ZW2;1398555904;nan;40;2456754;EUR;1397505664;CPH;FI;HEL;3.9
H3SRXY;1409954432;nan;40;2456929;EUR;1406935808;CDG;ES;MAD;4442.91
CG0TMK;1436566272;nan;40;2457259;EUR;1437727360;BKO;MA;CMN;299.72
C3F0XA;1438807808;nan;40;2457186;COP;1439930880;MAD;CO;JED;2.43
5UNITG;1439809792;nan;40;2457230;EUR;1440436224;GRU;FR;ORY;1811.55
CIEYVP;1447540992;B;40;2457319;EUR;1447386496;LCA;US;VIE;0.87
F0DP4T;1437066880;nan;40;2457208;DKK;1437012992;CPH;DK;AAR;504259.38
L5D5UV;1441184896;nan;20;2457208;USD;1441468288;JNB;IL;TLV;4403.81
OFIQEK;1425550208;nan;30;2457033;NOK;1426187392;OSL;NO;BGO;2.84
YGP57T;1441419264;nan;40;2457225;EUR;1441313024;DKR;IT;BLQ;0.04
3Y6UZ7;1440694912;nan;40;2457169;EUR;1441112320;LJU;FI;HEL;4.21
N4NTRF;1441019392;nan;40;2457138;SAR;1437680000;CPH;GR;RUH;33.26
V8FXBO;1443329792;nan;20;2457214;AUD;1443908480;RUH;AU;SYD;5.28
22Y70Z;1436891264;nan;40;2457147;XOF;1436959872;LAX;AU;SYD;62.33
X99XR2;1402854912;nan;40;2456812;BRL;1403228800;FOR;BR;GRU;0.19
WX841U;1449277312;nan;40;2457225;USD;1446194944;MNL;SA;CCS;10.14
C8N4UU;1437381760;B;40;2457149;EUR;1437737856;AMS;FR;CDG;0.02
8S76K3;1444138624;nan;40;2457094;EUR;1440303488;LAX;DE;CDG;1.2
FBEQAK;1403837312;nan;40;2456800;EUR;1401410688;TLS;ES;IST;0.08
SVV7RC;1410214784;nan;40;2456694;EUR;1407541632;CDG;DE;DUS;0.04
5DWW00;1421820288;nan;40;2457009;EUR;1422017792;SVG;AT;BCN;0.01
61O6HF;1444078720;nan;40;2457231;EUR;1442331520;ISB;DE;HAM;1.15
D2CEYQ;1442888576;B;30;2457251;CZK;1444953856;LSP;CZ;PRG;87.32
9GEUMA;1443308288;nan;40;2457281;EUR;1443857152;WAW;PL;JFK;0.98
6WPSHK;1440356224;nan;40;2457200;DKK;1439316992;CPH;DK;CPH;50.07
CKXTAC;1422937472;nan;40;2457075;EUR;1425205760;SAW;GR;FCO;0.45
LCB4U7;1450471296;nan;40;2457356;PKR;1450835840;BOG;FR;ABJ;0.1
GQM41I;1414635136;L;40;2456857;RUB;1413107456;USM;ZA;CDG;38201.35
7XVWFJ;1439752320;nan;40;2457192;GBP;1440592128;ATH;GB;WAW;0.13
O2G2DS;1432926080;nan;40;2457157;SEK;1432457728;LIS;SE;TLL;0.01
SQP2II;1423888896;nan;40;2456964;EUR;1424134528;FDF;ES;ORY;4403.81
RLIRQE;1436300416;nan;40;2457156;PLN;1433915776;WAW;PL;WAW;0.18
NRZ5XQ;1409828992;nan;40;2456661;EUR;1407407744;LIS;NO;QJZ;0.01
WW2PIF;1415857536;nan;40;2456930;EUR;1417179648;ALC;NL;DUS;0.01
Y3BMCE;1418191744;nan;40;2456900;EUR;1415623552;LPA;ES;HEL;0.65
92A1VV;1406737280;nan;40;2456696;EUR;1404073600;CDG;DE;TXL;4403.81
A52W0U;1441017728;B;40;2457240;EUR;1441824256;VIE;DE;MUC;4403.81
6US5M5;1439390720;nan;40;2457170;BRL;1437901952;GLA;BR;VIX;0.02
ZTNJL2;1444788608;nan;40;2457248;SAR;1444246272;CAI;SA;CAI;4403.81
JDXNC6;1442899840;nan;30;2457225;EUR;1443852032;FLR;FR;HAM;11.28
FO5VJA;1440926464;nan;40;2457043;XOF;1441005952;JMK;FR;MRS;142.48
PG0LWO;1441898880;nan;40;2457166;EUR;1441301632;FLN;FR;JPA;0.44
WF88T8;1443938560;nan;30;2457256;DKK;1443807744;RIX;DK;CPH;96858.27
V6XELP;1432983936;nan;40;2457138;EUR;1434953472;ATH;ZA;JNB;0.13
OMPCJS;1440289024;nan;40;2457197;BRL;1442072576;MAD;PT;LIS;1.85
U0ORCH;1442330368;nan;40;2457200;CAD;1439767424;BUD;CA;RUH;0.05
A9V5DA;1445906304;nan;40;2457244;NOK;1443473024;HAM;SA;RUH;0.02
6EPFVH;1438248064;nan;20;2457251;EUR;1440600320;MAD;ES;BCN;0.02
39H5MD;1435995264;B;30;2457124;SEK;1434969344;ARN;SE;UME;0.01
C1FYG3;1439184896;nan;40;2457199;EUR;1439865728;AGP;FR;MUC;0.04
OIH7V0;1439415296;nan;40;2457173;BRL;1437552640;LIM;BR;GIG;89.53
TMMHNH;1403639296;nan;40;2456787;SEK;1401900288;AGP;SE;ARN;1.83
UT0FX8;1434978944;nan;40;2457090;EUR;1432993536;FRA;GR;ATH;0.13
XBZD00;1441482624;nan;40;2457166;EUR;1439004416;BUD;NL;AMS;0.01
M028DA;1423872000;L;40;2456981;EUR;1420413824;CDG;FR;HAM;9258.44
S57ZAY;1450669568;nan;40;2457267;USD;1449053312;CDG;US;STW;5.02
JA0N41;1440282496;B;40;2457250;EUR;1440029952;BRU;ES;MAD;0.02
X00S8B;1409454976;nan;40;2456825;EUR;1410298368;EBB;US;AGP;0.71
Q49EP9;1438832896;L;40;2457193;EUR;1439951872;LHR;PT;LIS;7.17
C3QCH9;1443770752;L;40;2457099;GBP;1435599104;BCN;DE;LHR;0.03
5M4BO7;1447438464;nan;40;2456960;EUR;1440620416;AYT;DE;STR;0.01
0JSJYB;1438712192;nan;40;2457171;MXN;1436829952;LGW;AE;LPA;0.04
Y4D7HN;1403339392;nan;40;2456709;EUR;1402118016;TLS;FR;LTN;14.34
MK9M22;1403988352;L;40;2456704;NOK;1401545856;TRF;NO;SVG;0.08
U3K0A4;1442452480;nan;40;2457209;EUR;1442799360;SKG;PT;LIS;3.91
J6ID04;1439438080;L;40;2456949;EUR;1436997504;AYT;NL;DUS;0.09
6R8CIM;1427769600;nan;40;2457079;EUR;1427655424;LIS;PT;LIS;0.29
5K23DW;1447892224;L;40;2457290;AUD;1447477248;SYD;BR;GRU;0.07
9FQEKZ;1426016640;nan;40;2457012;SEK;1424561664;CDG;SE;ARN;0.03
BIEHCZ;1445766400;B;40;2457285;USD;1446129024;SAL;IL;TLV;4403.81
DDACKT;1397385472;nan;40;2456674;EUR;1397923840;CDG;FR;ATH;1.67
UN7RVW;1439323904;L;40;2457053;EUR;1435922048;NOU;ES;MAD;0.02
U83B5L;1404992896;nan;30;2456597;EUR;1402531712;AXD;ES;MAD;6.46
AYUZ8O;1437412480;nan;40;2457244;EUR;1439127808;AEP;GR;COR;1.15
ID76XU;1444315264;nan;40;2457219;EUR;1443167488;SYD;FR;GVA;0.11
T5CMCO;1425350272;nan;40;2456970;DKK;1424613632;LIS;IL;TLV;0.01
LSSODZ;1429990912;nan;40;2457066;AED;1431481600;SEA;AE;KEF;950.17
D2ZHFQ;1463068032;L;40;2457389;EUR;1460348544;TLV;DE;PXM;0.03
ENIL36;1437689216;nan;40;2457225;BRL;1435536512;LIM;BR;GIG;0.03
T0ZRX4;1417020160;nan;40;2456942;ZAR;1416355712;GOA;ZA;JNB;0.06
CMMFDH;1438364928;nan;40;2457125;NOK;1435148288;BGO;NO;TRD;4403.81
8BN8V6;1437458560;nan;30;2457222;NOK;1438062592;OSL;NO;TRD;540.9
OH7J0S;1440720000;nan;40;2457131;ZAR;1441277696;SCL;ZA;DUR;1.88
70C9OF;1433863936;nan;40;2457082;BRL;1435294976;SCL;BR;GIG;0.19
LQUDL6;1431862784;nan;40;2456911;AUD;1428857856;BKK;SE;ARN;0.01
9AZGD9;1431358976;nan;40;2457113;EGP;1430335872;HND;EG;CAI;0.1
5H0GZP;1437858944;nan;40;2457179;GBP;1434882560;JED;GB;MAN;737.93
0O5L60;1440902528;nan;40;2457243;EUR;1440990336;FCO;FR;MVY;33.43
HG0KKA;1435379584;nan;20;2457155;EUR;1434754688;LIS;FR;CDG;0.03
M4FK1N;1408410368;nan;40;2456829;USD;1406692608;MAD;DK;CPH;28.8
OV6CRO;1442484992;nan;20;2457256;SAR;1444404608;RUH;QA;CAI;0.07
4MWEVT;1444935424;B;40;2457243;USD;1442141952;MAD;US;HEL;0.01
BMGDRQ;1439561472;nan;40;2457211;EUR;1440050944;JFK;ES;MAD;4403.81
JF4FBS;1411031936;nan;20;2456983;USD;1412960256;MAD;IL;TLV;0.04
HAZDAR;1421189760;nan;30;2456979;EUR;1420969856;LHR;FR;CDG;0.05
NDZEOI;1445782400;nan;40;2457260;EUR;1445857408;LHR;AT;VIE;0.01
3E5OLZ;1404032000;nan;30;2456797;SEK;1405764736;BLQ;SE;GOT;29.11
2FRI4F;1439980288;nan;40;2457224;AUD;1436635136;ACC;SI;LJU;0.05
JD2GBA;1437978624;nan;40;2457174;EUR;1437392256;MRS;FR;CDG;4403.81
X58QNJ;1449524992;nan;30;2457266;SAR;1442545024;DMM;SA;RUH;33.71
4JVN27;1438007936;nan;40;2457205;EUR;1438360064;ISB;AU;FCO;0.04
8RSNJV;1403757056;nan;40;2456791;CZK;1404658432;KTM;UY;MVD;0.02
X9848K;1420711424;L;40;2456991;SEK;1419808384;RIX;SE;GOT;4403.81
GQQT3L;1463600256;nan;10;2457434;EUR;1463334400;CTA;GR;ATH;4403.81
RN4QRK;1441073536;B;20;2457191;GBP;1442828416;AMM;US;BOS;3.79
6K4ZCK;1430011776;nan;40;2457071;USD;1428699520;CDG;US;DJE;0.01
5PF36U;1405402624;nan;40;2456821;EUR;1403311360;MUC;FR;OPO;1.24
PSAZ44;1442051072;nan;40;2457208;USD;1440721792;LIM;IT;SJO;0.01
BW1TXU;1404506240;nan;40;2456899;EUR;1404605824;AMS;NL;SJT;1305.32
9AXG2H;1438331136;nan;20;2457160;SEK;1437740672;AAR;SE;GOT;4403.81
7WSBH0;1439040512;nan;40;2457152;GBP;1439263616;HAN;GB;LTN;0.16
3BA2TP;1441862912;nan;30;2457270;PLN;1443524992;WAW;US;JFK;0.06
BD462T;1434404992;nan;40;2457117;EUR;1433809152;BEY;DE;MUC;4403.81
9TJLQV;1439768320;nan;40;2457213;EUR;1437419520;LIS;ES;BCN;6.0
QWXDTB;1425548032;nan;40;2457004;EUR;1423817600;TLS;FR;CDG;35.14
9A47QM;1446248960;nan;20;2457327;ZAR;1448215936;AMS;ZA;CPT;0.06
7DZ23R;1412140032;nan;40;2456756;EUR;1411568640;LHR;NL;CPT;2.06
341IUS;1443296384;nan;40;2457311;EUR;1443041152;BRU;ES;MUC;4.09
EKM3TT;1434944256;nan;40;2457131;EUR;1436173440;BRU;ES;BIO;8.27
NX9I91;1441844608;nan;40;2457262;ZAR;1440118784;DAC;SA;RUH;40.54
